chair 's message nan nan 2001|fact division chair 's message ak gupta  d mahr nan nan|0
tigukat : a uniform behavioral objectbase management system m zsu  r peters  d szafron  b irani  a lipka  a muoz vldb j. 1995|t1gukat : a uniform behavioral objectbase management system mt ozsu  r peters  d szafron  b irani  a lipka  a vldb journal  nan|1
a content-based multimedia server for massively parallel architectures w o'connell  i ieong  d schrader  c watson  g au  a biliris  s choo  p colin  g linderman  e panagos  j wang  t walters sigmod conference 1996|a teradata content-based multimedia object manager for massively parallel architectures wo ?? connell  it ieong  d schrader  c watson  g au nan nan|0
safe query languages for constraint databases p revesz acm trans . database syst . 1998|safe query languages for constraint databases pz revesz acm transactions on database systems  1998.0|1
integration of data mining with database technology a netz  s chaudhuri  j bernhardt  u fayyad vldb 2000|integrating database and world wide web technologies h lu  l feng world wide web  1998.0|0
self-serv : a platform for rapid composition of web services in a peer-to-peer environment q sheng  b benatallah  m dumas  e mak vldb 2002|mak . eq   ?? self-serv : a platform for rapid composition of web services in a peer-to-peer environment qz sheng  b benatallah  m dumas proceedings of the 28 thvldb nan|1
scalable parallel data mining for association rules e han  g karypis  v kumar sigmod conference 1997|scalable data mining for rules mj zaki nan nan|0
approximate computation of multidimensional aggregates of sparse data using wavelets j vitter  m wang sigmod conference 1999|storage estimation for multidimensional aggregates in olap k runapongsa  tp nadeau  tj teorey proceedings of the 1999 conference of the centre for & hellip ;  1999.0|0
wrapper generation for semi-structured internet sources n ashish  c knoblock sigmod record 1997|wrapper generation for semi-structured internet sources n ashish  c knoblock nan 1997.0|1
query unnesting in object-oriented databases l fegaras sigmod conference 1998|query language approach based on the deductive object-oriented database paradigm t niemi  m christensen nan nan|0
terraserver : a spatial data warehouse t barclay  d slutz  j gray sigmod conference 2000|microsoft terraserver : a spatial data warehouse tbjgd slutz arxiv preprint cs.db / 9907016  1999.0|1
workflow automation : applications  technology  and research ( tutorial ) nan nan 1995|workflow automation : applications  technology and research a sheth sigmod record  1995.0|1
mining fuzzy association rules in databases c kuok  a fu  m wong sigmod record 1998|mining association rules with improved semantics in medical databases m delgado  ma vila artificial intelligence in medicine  2001.0|0
schema mapping as query discovery r miller  l haas  m hernndez vldb 2000|schema mapping as query discovery m hernandez  r miller  l haas proc . sigmod conf.  page  nan|1
incremental computation and maintenance of temporal aggregates j yang  j widom vldb j. 2003|incremental computation and maintenance of temporal aggregates j yang  j widom the vldb journal the international journal on very large & hellip ;  2003.0|1
xml and electronic commerce : enabling the network economy b meltzer  r glushko sigmod record 1998|getting better all the time : electronic commerce sites d lidsky pc magazine  nan|0
title  foreword nan nan 1994|foreword j remane nan nan|0
foundations of preferences in database systems w kieling vldb 2002|masking system crashes in database application programs jc freytag  f cristian vldb  1987.0|0
database research at arizona state university s urban  s dietrich  f golshani sigmod record 1996|database research activities at the university of vienna mptmg pernul  m polaschek  am tjoa  g vinek sigmod record  1992.0|0
object-oriented  rapid application development in a pc database environment f team sigmod conference 1995|a deductive object-oriented database for data intensive application development aaa fernandes  ml barja  nw paton  mh williams nan nan|0
concurrency and recovery for index trees d lomet  b salzberg vldb j. 1997|consistency  concurrency  and crash recovery acm-sigmod int ye lien  pj weinberger conf on management of data  austin  texas  nan|0
schemasql - a language for interoperability in relational multi-database systems l lakshmanan  f sadri  i subramanian vldb 1996|schemasql-a language for interoperability in relational multi-database systems f sadri  in subramanian  lvs lakshmanan nan 1996.0|1
to weave the web p atzeni  g mecca  p merialdo vldb 1997|to weave the web p atzeni  g mecca  p merialdo vldb  1997.0|1
conceptual schema analysis : techniques and applications s castano  v antonellis  m fugini  b pernici acm trans . database syst . 1998|harmonic analysis on symmetric spaces and applications a terras nan 1988.0|0
effective memory use in a media server e chang  h garcia-molina vldb 1997|effective memory use in a media server ( extended version ) e chang  h garcia-molina nan 1996.0|1
an extensible compressor for xml data h liefke  d suciu sigmod record 2000|an extensible compressor for xml data . acms anthology sigmod record  2000.0|1
on-line warehouse view maintenance d quass  j widom sigmod conference 1997|on-line warehouse view maintenance for batch updates d quass  j widom the acm sigmod conf  nan|1
watermarking relational data : framework  algorithms and analysis r agrawal  p haas  j kiernan vldb j. 2003|watermarking relational data : framework  algorithms and analysis r agrawal  pj haas  j kiernan the vldb journal the international journal on very large & hellip ;  2003.0|1
control : continuous output and navigation technology with refinement on-line r avnur  j hellerstein  b lo  c olston  b raman  v raman  t roth  k wylie sigmod conference 1998|control : continuous output and navigation technology with refinement on-line r avnur  jm hellerstein  b lo  c olston  b raman  sigmod conference  1998.0|1
a low-cost storage server for movie on demand databases b zden  a biliris  r rastogi  a silberschatz vldb 1994|a low-cost storage server for movie on demand databases b ?zden  a biliris  r rastogi  a silberschatz proceedings of the 20th international conference on very & hellip ;  1994.0|1
integrating a structured-text retrieval system with an object-oriented database system t yan  j annevelink vldb 1994|extraction of object-oriented structures from existing relational databases s ramanathan  j hodges sigmod record  1997.0|0
special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction nan nan 2001|special section on data mining for intrusion detection and threat analysis d barbar  acm sigmod record  2001.0|1
from focused crawling to expert information : an application framework for web exploration and portal generation s sizov  j graupmann  m theobald vldb 2003|from focused crawling to expert information : an application framework for web exploration and portal s sizov  j graupmann  m theobald proceedings of the international conference on very large & hellip ;  2003.0|1
structural matching and discovery in document databases j wang  d shasha  g chang  l relihan  k zhang  g patel sigmod conference 1997|structural matching and discovery in document databases jtl wang  gjs chang sigmod conference  1997.0|1
model and verification of a data manager based on aries d kuo acm trans . database syst . 1996|model and verification of a data manager based on aries d kuo acm transactions on database systems  1996.0|1
performance evaluation of a new distributed deadlock detection algorithm c yeung  s hung  k lam sigmod record 1994|performance evaluation of a new distributed deadlock detection algorithm c yeung  s hung  k lam sigmod record  1994.0|1
enhanced abstract data types in object-relational databases p seshadri vldb j. 1998|the case for enhanced abstract data types praveen seshadri p sesshadri  m livny  r ramakrishnan nan nan|0
dbmss on a modern processor : where does time go ? a ailamaki  d dewitt  m hill  d wood vldb 1999|dbmss on a modern processor :  ?? where does all the time go? ?? revisited m becker  n mancheril  s okamoto nan nan|0
quantifiable data mining using ratio rules f korn  a labrinidis  y kotidis  c faloutsos vldb j. 2000|scalable data mining for rules mj zaki nan nan|0
towards a cooperative transaction model - the cooperative activity model m rusinkiewicz  w klas  t tesch  j wsch  p muth vldb 1995|the generative extraction model s miller unpublished manuscript  nan|0
watermarking relational databases r agrawal  j kiernan vldb 2002|updating relational databases through weak instance interfaces p atzeni  r torlone acm transactions on database systems  1992.0|0
storage estimation for multidimensional aggregates in the presence of hierarchies a shukla  p deshpande  j naughton  k ramasamy vldb 1996|set-derivability of multidimensional aggregates j albrecht  h guenzel  w lehner nan nan|0
`` honey  i shrunk the dbms '' : footprint  mobility  and beyond ( panel ) p seshadri sigmod conference 1999|'' honey  i shrunk the dbms '' : footprint  mobility  and beyond p seshadri sigmod record  1999.0|1
crawling the hidden web s raghavan  h garcia-molina vldb 2001|crawling the hidden web . h garcia-molina  s raghavan 27th international conference on very large data bases  nan|1
answering queries with useful bindings c li  e chang acm trans . database syst . 2001|answering queries with aggregation using views d srivastava  s dar  hv jagadish  ay levy vldb  1996.0|0
an introduction to deductive database languages and systems k ramamohanarao  j harland vldb j. 1994|the coral deductive database system . acms anthology  p edition nan nan|0
declarative updates of relational databases w chen acm trans . database syst . 1995|a guided tour of relational databases and beyond m levene  g loizou nan 1999.0|0
towards a database body of knowledge : a study from spain c calero  m piattini  f ruiz sigmod record 2003|towards a database body of knowledge : a study from spain c calero  m piattini  f ruiz acm sigmod record  2003.0|1
integrated document caching and prefetching in storage hierarchies based on markov-chain predictions a kraiss  g weikum vldb j. 1998|integrated document prefetching and caching in hierarchical storage based on markov-chain a kraiss  g weikum vldb journal ( may nan|1
the x-tree : an index structure for high-dimensional data s berchtold  d keim  h kriegel vldb 1996|the x-tree : an index structure for high-dimensional data . 22 ndint sd berchtold  d keim  hp kriegel conf . on very large data bases  nan|1
a system for watermarking relational databases r agrawal  p haas  j kiernan sigmod conference 2003|a systematic approach to relational database theory t imielinski proceedings of the 1982 acm sigmod international conference & hellip ;  1982.0|0
seeking the truth about ad hoc join costs l haas  m carey  m livny  a shukla vldb j. 1997|sing the truth about ad hoc join costs lm haas  mj carey  m livny  a shukla the vldb journal ?? the international journal on very large & hellip ;  1997.0|1
emancipating instances from the tyranny of classes in information modeling j parsons  y wand acm trans . database syst . 2000|emancipating instances from the tyranny of classes in information modeling j parsons  y wand acm transactions on database systems  2000.0|1
opt + + : an object-oriented implementation for extensible database query optimization n kabra  d dewitt vldb j. 1999|efficient and extensible algorithms for multi query optimization ps seshadri  s sudarshan  s bhobe proc . sigmod  dallas  usa  nan|0
maintenance of implication integrity constraints under updates to constraints n ishakbeyoglu  z zsoyoglu vldb j. 1998|maintenance of implication integrity constraints under updates to constraints ns ishakbeyoglu  zm ozsoyoglu the vldb journal the international journal on very large & hellip ;  1998.0|1
the ecrc multi database system w jonker  h schtz sigmod conference 1995|the ecrc multi database system w jonker  h sch 1/4 tz proceedings of the 1995 acm sigmod international conference & hellip ;  1995.0|1
efficient testing of high performance transaction processing systems d wildfogel  r yerneni vldb 1997|parallel database systems : the future of high performance database processing m mehta  dj dewitt proceedings of the 21st vldb conference  nan|0
interview with jim gray nan nan 2003|interview with authors e larson san diego  nan|0
comparative analysis of five xml query languages a bonifati  s ceri sigmod record 2000|on completeness of historical query languages j clifford  a croker  a tuzhilin acm transactions on database systems  nan|0
guest editorial nan nan 2003|guest editor 's introduction y singer machine learning  2001.0|0
comparative analysis of six xml schema languages d lee  w chu sigmod record 2000|comparative analysis of six xml schema languages acm sigmod record d lee  ww chu nan nan|1
fast algorithms for mining association rules in large databases r agrawal  r srikant vldb 1994|mining association rules between sets of items in large databases 1993 . 10p r agrawal  t imielinski  a swami proceedings of the 1993 acm sigmod conference washington dc  nan|0
algorithms for deferred view maintenance l colby  t griffin  l libkin  i mumick  h trickey sigmod conference 1996|n  l. libkin  i. mumick  h. trickey  algorithms for deferred view maintenance l colby  t gri proceedings of the acmsigmod conference  nan|1
path sharing and predicate evaluation for high-performance xml filtering y diao  m altinel  m franklin  h zhang  p fischer acm trans . database syst . 2003|path sharing and predicate evaluation for high-performance xml filtering y diao  m altinel  mj franklin  h zhang  p fischer acm transactions on database systems  2003.0|1
the trigs active object-oriented database system - an overview g kappel  w retschitzegger sigmod record 1998|storage reclamation in object-oriented database systems mh butler proceedings of the acm sigmod international conference on nan|0
dynamic information visualization y ioannidis sigmod record 1996|information visualization sk card nan nan|0
sampling large databases for association rules h toivonen vldb 1996|an effective algorithm for mining association rules in large databases a savasere  e omiecinski  s navathe proceedings of 21st international conference on very large & hellip ;  nan|0
the mariposa distributed database management system j sidell sigmod record 1996|bilvideo video database management system o ulusoy  c alper nan nan|0
report on the 8th international workshop on knowledge representation meets databases ( krdb ) nan nan 2001|workshop report : the first international workshop on active and real-time database systems ( artdb-95 m berndtsson  j hansson sigmod record  1996.0|0
locally adaptive dimensionality reduction for indexing large time series databases e keogh  k chakrabarti  s mehrotra  m pazzani sigmod conference 2001|mehrotra ( 2001 ) locally adaptive dimensionality reduction for similarity search in large time series e keogh  k chakrabarti  m pazzani nan nan|1
hierarchical compact cube for range-max queries s lee  t ling  h li vldb 2000|hierarchical prex cubes for range-sum queries cy chan  ye ioannidis proceedings of the 25th international conference on very nan|0
automatic generation of production rules for integrity maintenance s ceri  p fraternali  s paraboschi  l tanca acm trans . database syst . 1994|. s.  and tanca  l. 1992a . automatic generation of production rules for integrity maintenance s ceri tech  rep. 92-054  pohtecmco dl milano  dlpartlmento di nan|1
vqbd : exploring semistructured data s chawathe  t baby  j yeo sigmod conference 2001|query optimization for semistructured data j mchugh  j widom proc . vldb  1999.0|0
visual coko : a debugger for query optimizer development d abadi  m cherniack sigmod conference 2002|visual coko : a debugger for query optimizer development dj abadi sigmod conference  2002.0|1
a critique of ansi sql isolation levels h berenson  p bernstein  j gray  j melton  e o'neil  p o'neil sigmod conference 1995|a critique of ansi sql isolation levels po ?? neil a dense  scholarly  oft-cited  hard-to-read  necessary nan|1
sleepers and workaholics : caching strategies in mobile environments d barbar  t imielinski vldb j. 1995|sleepers and workaholics : caching strategies in mobile environments   very large databases j d barbara  t imielinski nan 1995.0|1
maintaining coherency of dynamic data in cooperating repositories s shah  k ramamritham  p shenoy vldb 2002|maintaining coherency of dynamic data in cooperating repositories sskrp shenoy nan nan|1
optimization of constrained frequent set queries with 2-variable constraints l lakshmanan  r ng  j han  a pang sigmod conference 1999|optimization of constrained frequent set queries with 2-variable constraints lvs laksmanan  rt ng  j han  a pang proc . acm sigmod ( philadelphia  pennsylvania  nan|1
fastmap : a fast algorithm for indexing  data-mining and visualization of traditional and multimedia datasets c faloutsos  k lin sigmod conference 1995|und lin  k.-i . ( 1995 ) . fastmap : a fast algorithm for indexing  data-mining and visualization of c faloutsos proceedings of the 1995 int . acm/sigmod conf . on management nan|1
devise : integrated querying and visual exploration of large datasets ( demo abstract ) m livny  r ramakrishnan  k beyer  g chen  d donjerkovic  s lawande  j myllymaki  r wenger sigmod conference 1997|devise : integrated querying and visual exploration of large datasets r ramkrishnan  m livny proc . sigmod  nan|1
discover : keyword search in relational databases v hristidis  y papakonstantinou vldb 2002|discovering latent classes in relational data c kemp  tl griffiths  jb tenenbaum nan nan|0
issues in data stream management l golab  m zsu sigmod record 2003|mt ( 2003 )  ?? issues in data stream management. ?? l golab sigmod record  nan|1
picture programming project n goyal  c hoch  r krishnamurthy  b meckler  m suckow  m zloof sigmod conference 1997|picture programming project . acms anthology  p edition nan nan|1
shoring up persistent applications m carey  d dewitt  m franklin  n hall  m mcauliffe  j naughton  d schuh  m solomon  c tan  o tsatalos  s white  m zwilling sigmod conference 1994|shoring up persistent applications mj carey  dj dewitt ?  nan nan|1
foundations of preferences in database systems w kieling vldb 2002|foundations of preferences in database systems w kiessling vldb  2002.0|1
access path support for referential integrity in sql2 t hrder  j reinert vldb j. 1996|access path support for referential integrity in sql2 t h $ rder  j reinert the vldb journal the international journal on very large & hellip ;  1996.0|1
view maintenance in a warehousing environment y zhuge  h garcia-molina  j hammer  j widom sigmod conference 1995|view maintenance in a warehouse environment  acm sigmod int y zhuge  h garcia-molina  jl wiener conf . on management of data  nan|1
efficiently publishing relational data as xml documents j shanmugasundaram  e shekita  r barr  m carey  b lindsay  h pirahesh  b reinwald vldb j. 2001|efficiently publishing xml views of relational databases j shanmugasundaram  e shekita  r barr proc . of vldb  nan|1
efficient k-nn search on vertically decomposed data a vries  n mamoulis  n nes  m kersten sigmod conference 2002|efficient k-nn search on vertically decomposed data ap de vries  n mamoulis  n nes  m kersten proceedings of the acm sigmod international conference on & hellip ;  2002.0|1
parallel mining algorithms for generalized association rules with classification hierarchy t shintani  m kitsuregawa sigmod conference 1998|parallel mining algorithms for generalized association rules with classification hierarchy t shintani  m kitsuregawa sigmod conference  1998.0|1
managing intervals efficiently in object-relational databases h kriegel  m ptke  t seidl vldb 2000|efficiency in instantiating objects from relational databases through views bs lee nan nan|0
lore : a database management system for semistructured data j mchugh  s abiteboul  r goldman  d quass  j widom sigmod record 1997|lore : a database management system for semistructured data j mchugh  s abiteboul  r goldman  d quass  j widom sigmod record  1997.0|1
reminiscences on influential papers nan nan 1999|reminiscences on influential papers e bertino acm transactions on database systems  1976.0|0
an annotated bibliography on active databases u jaeger  j freytag sigmod record 1995|an annotated bibliography on object-orientation and deduction s conrad sigmod record  1992.0|0
range queries in olap data cubes c ho  r agrawal  n megiddo  r srikant sigmod conference 1997|range queries in data cubes ct ho  r agrawal  r srihant proc . int ?? l conf . management of data ( sigmod )  nan|1
parallel mining algorithms for generalized association rules with classification hierarchy t shintani  m kitsuregawa sigmod conference 1998|mining generalized association rules ; proceedings of the 21 r srikant  r agrawal vldb nan|0
querying heterogeneous information sources using source descriptions a levy  a rajaraman  j ordille vldb 1996|query optimization in heterogeneous databases w du  r krishnamurthy  m shan proc . vldb conference  vancouver  nan|0
supporting top-k join queries in relational databases i ilyas  w aref  a elmagarmid vldb 2003|dynamic query interpretation in relational databases ad ` atri  p di felice  m moscarini proceedings of the sixth acm sigact-sigmod-sigart symposium & hellip ;  1987.0|0
storing semistructured data with stored a deutsch  m fernandez  d suciu sigmod conference 1999|vqbd : exploring semistructured data ss chawathe  t baby  j yeo nan nan|0
engineering federated information systems : report of efis '99 workshop s conrad  w hasselbring  u hohenstein  r kutsche  m roantree  g saake  f saltor sigmod record 1999|engineering federated information systems : report of efis '99 workshop . acms anthology sigmod record  1999.0|1
describing semistructured data l cardelli sigmod record 2001|a parallel index for semistructured data b cooper  n sample  m shadmon nan nan|0
relational data sharing in peer-based data management systems b ooi  y shu  k tan sigmod record 2003|modelling market-based decentralised management systems pj kearney  w merlat bt technology journal  1999.0|0
a raster approximation for processing of spatial joins g zimbrao  j souza vldb 1998|efiienr processing of spatial joins using r-trees t brink & ff  hp kriegel  b seeger proc . acm sigmod int . conf . on management of data  & hellip ;  nan|0
the mirror mmdbms architecture a vries  m doorn  h blanken  p apers vldb 1999|the revolution in database architecture j gray nan nan|0
the case for enhanced abstract data types p seshadri  m livny  r ramakrishnan vldb 1997|enhanced abstract data types in object-relational databases p seshadri the vldb journal the international journal on very large & hellip ;  1998.0|0
effective memory use in a media server e chang  h garcia-molina vldb 1997| cents  ?   ? effective memory use in a media server   cents  ?   ? e chang  h garcia-molina proceedings of the vldb conference  nan|1
sigmod ' 2000 program chair 's message nan nan 2000|sigcas chair 's message cd martin computers and society  nan|0
foundations of statistical natural language processing - book review nan nan 2002|foundations of statistical natural language processing g weikum acm sigmod record  2002.0|1
exact : an extensible approach to active object-oriented databases o daz  a jaime vldb j. 1997|introduction to object-oriented databases w kim nan nan|0
the aqua approximate query answering system s acharya  p gibbons  v poosala  s ramaswamy sigmod conference 1999|join synopsesfor approximate query answering s acharya  pb gibbons  v poosala  s ramaswamy acm nan|0
olap  relational  and multidimensional database systems g colliat sigmod record 1996|set-oriented production rules in relational database systems portal.acm.org nan nan|0
publish/subscribe on the web at extreme speed j pereira  f fabret  f llirbat  r preotiuc-pietro  k ross  d shasha vldb 2000|publish/subscribe on the web at extreme speed j pereira  f fabret  f llirbat  r preotiuc-pietro  vldb  2000.0|1
temporal database bibliography update v tsotras  a kumar sigmod record 1996|bibliography : temporal databases e mcke mckenzie sigmod record  nan|0
wavelet-based histograms for selectivity estimation y matias  j vitter  m wang sigmod conference 1998|improved histograms for selectivity estimation or range predicates v poosala  ye ioannidis  pj haas  ej shekita acm sigmod international nan|0
the ores temporal database management system b theodoulidis  a ait-braham  g andrianopoulos  j chaudhary  g karvelis  s sou sigmod conference 1994|buffer management algorithms for relational database management systems . mec hull  ff cai  d bell information and software technology  1988.0|0
the araneus web-base management system g mecca  p atzeni  a masci  p merialdo  g sindoni sigmod conference 1998|the ores temporal database management system b theodoulidis  a ait-braham  g andrianopoulos  j proc . acm sigmod int &#39; l conf . management of nan|0
guest editorial nan nan 2001|editorial p willis bt technology journal  2000.0|0
the effectiveness of gloss for the text database discovery problem l gravano  h garcia-molina  a tomasic sigmod conference 1994|the effective of gloss for the text database discovery problem hgoms luisgravano  a tomasic proc . of the acm sigmod conference  acm sigmod record  nan|1
low-cost compensation-based query processing  grvlen  s hvasshovd   torbjrnsen vldb 1998|toward learning based web query processing y diao  h lu  s chen  z tian vldb  2000.0|0
an extendible hash for multi-precision similarity querying of image databases s lin  m zsu  v oria  r ng vldb 2001|an extendible hash for multi-precision similarity querying of image databases ''  27th int s lin   ? tamer  m zsu  v oria  r ng conf . on very large data-bases nan|1
the design and implementation of a sequence database system p seshadri  m livny  r ramakrishnan vldb 1996|seq : design and implementation of a sequence database system p seshadri  m livny  r ramakrishnan computer sciences technical report-university of wisconsin & hellip ;  1996.0|1
continuous queries over data streams s babu  j widom sigmod record 2001|cql : a language for continuous queries over streams and relations a arasu  s babu  j widom nan nan|0
hyperfile : a data and query model for documents c clifton  h garcia-molina  d bloom vldb j. 1995|a data model and query language for exodus mj carey  sl vandenberg nan nan|0
thmis : a database programming language handling integrity constraints v benzaken  a doucet vldb j. 1995|inheritance and persistence in database programming languages p buneman  m atkinson proceedings of the 1986 acm sigmod international conference & hellip ;  1986.0|0
adaptable query optimization and evaluation in temporal middleware g slivinskas  c jensen  r snodgrass sigmod conference 2001|optimization and evaluation of array queries r ritsch  p baumann submitted for publication  nan|0
automatic generation of production rules for integrity maintenance s ceri  p fraternali  s paraboschi  l tanca acm trans . database syst . 1994|deriving production rules for incremental rule maintenance s ceri  j widom proceedings of the 17th vldb conference  nan|0
hierarchical prefix cubes for range-sum queries c chan  y ioannidis vldb 1999|optimal histograms for hierarchical range queries n koudas nan nan|0
the tv-tree : an index structure for high-dimensional data k lin  h jagadish  c faloutsos vldb j. 1994|the x-tree : an index structure for high dimensional data s berchtold  da keim nan 1996.0|0
data mining with optimized two-dimensional association rules t fukuda  y morimoto  s morishita  t tokuyama acm trans . database syst . 2001|data mining using two-dimensional optimized association rules : scheme  algorithms  and visualization t fukuda  y morimoto  s morishita  t tokuyama proceedings of the 1996 acm sigmod international conference & hellip ;  1996.0|1
efficient and effective clustering methods for spatial data mining r ng  j han vldb 1994|efficient and effective clustering methods or spatial data mining r ng  j han proc . 1994 int . conf . very large data bases  pages144 { 155  nan|1
workflow automation : applications  technology  and research ( tutorial ) nan nan 1995|workflow automation : applications  technology and research : tutorial notes a sheth sigmod conference  nan|1
data model for extensible support of explicit relationships in design databases j peckham  b mackellar  m doherty vldb j. 1995|a data model for the extensible support of explicit relationships in design databases bk mackellar  j peckham  m doherty the very large database journal  april  nan|1
distributed deviation detection in sensor networks t palpanas  d papadopoulos  v kalogeraki  d gunopulos sigmod record 2003|distributed deviation detection in sensor networks t palpanas  d papadopoulos  v kalogeraki  d acm sigmod record  2003.0|1
interaction of query evaluation and buffer management for information retrieval b jnsson  m franklin  d srivastava sigmod conference 1998|interaction of query evaluation and buffer management for bt jonsson  mj franklin  d srivastava nan nan|1
guest editor 's introduction nan nan 2003|guest editorial j mai  e marani  s hakomori the histochemical journal  1992.0|0
delaunay : a database visualization system i cruz  m averbuch  w lucas  m radzyminski  k zhang sigmod conference 1997|delaunay : a database visualization system ifcm averbuch nan nan|1
medical information systems : characterization and challenges j ramirez  l smith  l peterson sigmod record 1994|medical information systems : characterization and challenges jcg ramirez  la smith sigmod record  1994.0|1
